Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-12,,-2,-3,-3,-7,0,-4,-2,-5,85,82,-3
2017,-3,,-3,-2,-1,-5,1,3,-1,2,85,85,0
2018,-9,,-3,-2,-1,-6,1,-1,-2,-2,86,83,-3
2019,-3,,0,0,-2,-2,0,0,-1,-1,88,86,-2
2020,-4,,0,-1,0,-1,0,-1,-2,-3,84,78,-6
2021,-7,,-2,-1,-1,-4,0,-2,0,-3,87,84,-3
2022,0,,-1,1,-1,-1,0,0,1,1,91,91,0
