PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(L, 4-3)",6.0,5,2,2,4,6,1,3.43
"García, J",1.0,1,0,0,0,0,0,0.00
Leone,1.0,0,0,0,0,3,0,2.63
Alvarez,0.1,0,0,0,1,0,0,4.66
Llovera,0.2,0,0,0,1,1,0,1.69
,9.0,6,2,2,6,10,1,
