PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(W, 2-0)",6.0,2,1,1,2,6,1,0.75
Shreve,1.0,0,0,0,0,3,0,2.70
"Smith, Dr",1.0,0,0,0,1,0,0,0.00
Reid-Foley,1.0,1,2,2,2,2,0,13.50
,9.0,3,3,3,5,11,1,
