Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Hernández, César - LHB",2015,0.00,0.54,0.81,1.05,1.27,1.49,1.69,1.88,2.07,2.25,2.42,2.59,2.76,2.93,3.09,3.25,3.41,3.58,3.75
"Hernández, César - RHB",2015,0.00,0.56,0.85,1.10,1.33,1.54,1.75,1.94,2.13,2.31,2.48,2.66,2.82,2.99,3.15,3.32,3.48,3.64,3.81
"Hernández, César - LHB",2016,0.00,0.53,0.82,1.06,1.29,1.50,1.70,1.89,2.07,2.25,2.42,2.59,2.76,2.92,3.08,3.24,3.40,3.57,3.77
"Hernández, César - RHB",2016,0.00,0.54,0.83,1.09,1.32,1.54,1.74,1.94,2.12,2.30,2.48,2.65,2.81,2.98,3.14,3.30,3.46,3.62,3.79
"Hernández, César - LHB",2017,0.00,0.54,0.82,1.07,1.29,1.51,1.71,1.90,2.08,2.26,2.43,2.60,2.77,2.93,3.10,3.26,3.42,3.59,3.77
"Hernández, César - RHB",2017,0.00,0.54,0.84,1.09,1.33,1.54,1.74,1.94,2.12,2.30,2.48,2.65,2.82,2.98,3.15,3.31,3.47,3.63,3.80
"Hernández, César - LHB",2018,0.00,0.52,0.80,1.05,1.28,1.50,1.70,1.89,2.07,2.25,2.42,2.59,2.76,2.93,3.09,3.25,3.42,3.58,3.75
"Hernández, César - RHB",2018,0.00,0.53,0.83,1.08,1.32,1.54,1.74,1.94,2.12,2.30,2.48,2.65,2.82,2.99,3.15,3.31,3.48,3.64,3.81
"Hernández, César - LHB",2019,0.00,0.53,0.82,1.07,1.30,1.52,1.72,1.92,2.10,2.28,2.46,2.64,2.81,2.98,3.15,3.31,3.48,3.65,3.83
"Hernández, César - RHB",2019,0.00,0.55,0.84,1.10,1.34,1.56,1.76,1.96,2.14,2.32,2.50,2.67,2.85,3.01,3.18,3.35,3.51,3.68,3.85
"Hernández, César - LHB",2020,0.00,0.55,0.86,1.12,1.35,1.56,1.76,1.96,2.14,2.32,2.50,2.68,2.85,3.02,3.19,3.36,3.53,3.69,3.88
"Hernández, César - RHB",2020,0.00,0.58,0.90,1.17,1.41,1.63,1.84,2.04,2.23,2.41,2.59,2.76,2.94,3.12,3.29,3.46,3.63,3.80,3.98
"Hernández, César - LHB",2021,0.00,0.54,0.84,1.09,1.32,1.53,1.73,1.92,2.10,2.29,2.46,2.64,2.81,2.97,3.14,3.31,3.48,3.65,3.84
"Hernández, César - RHB",2021,0.00,0.58,0.91,1.17,1.39,1.61,1.81,2.01,2.19,2.38,2.55,2.73,2.90,3.06,3.23,3.40,3.56,3.73,3.90
"Hernández, César - LHB",2022,0.00,0.54,0.84,1.09,1.32,1.54,1.74,1.93,2.12,2.30,2.48,2.65,2.82,2.99,3.16,3.33,3.49,3.67,3.85
"Hernández, César - RHB",2022,0.00,0.57,0.90,1.17,1.41,1.63,1.83,2.03,2.22,2.40,2.58,2.76,2.93,3.10,3.27,3.44,3.61,3.78,3.95

