PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Sanchez, Aa(L, 1-2)",4.1,6,7,6,2,4,1,8.56
"Rogers, J",1.2,1,1,1,0,3,1,4.50
Finnegan,1.0,2,1,1,0,2,1,5.59
Voth,0.2,1,0,0,1,1,0,5.23
Cishek,0.1,0,0,0,0,1,0,5.79
,8.0,10,9,8,3,11,3,
