PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Senzatela,4.1,7,3,2,2,1,1,3.75
"Chacín(W, 3-1)",1.2,2,1,1,0,1,1,7.30
"Stephenson, R",0.2,2,2,2,1,0,0,7.71
"Kinley(H, 6)",0.1,1,0,0,0,0,0,0.87
"Colomé(H, 3)",1.0,2,1,1,0,0,0,5.87
"Bard, D(S, 8)",1.0,1,0,0,0,0,0,1.80
,9.0,15,7,6,3,2,2,
