PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Kirby(W, 5-3)",5.2,6,3,3,1,7,0,3.47
Murfee,1.1,3,2,2,0,0,0,2.77
Brash,1.0,0,0,0,0,3,0,5.50
Festa,1.0,1,2,2,1,1,1,3.75
,9.0,10,7,7,2,11,1,
