PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Toussaint(L, 1-1)",2.2,3,4,4,4,3,0,4.50
Mayers,5.1,6,5,5,1,4,3,5.22
Barria,1.0,1,2,2,1,0,1,2.69
,9.0,10,11,11,6,7,4,
