Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,CWS,AL,2B,3,1,13.0,8,1,7,0,0,,1.000
2013,CWS,AL,3B,17,13,121.2,38,5,30,3,2,,.921
2013,CWS,AL,SS,3,3,27.1,20,7,13,0,0,,1.000
2014,CWS,AL,2B,26,25,223.2,133,51,78,4,23,,.970
2014,CWS,AL,3B,33,31,279.1,96,14,72,10,9,,.896
2014,CWS,AL,SS,3,1,13.0,3,0,3,0,1,,1.000
2014,CWS,AL,DH,2,2,0.0,0,0,0,0,0,,.000
2015,OAK,AL,SS,152,147,1304.2,656,214,407,35,99,,.947
2016,OAK,AL,SS,159,158,1385.1,733,235,477,21,109,,.971
2017,OAK,AL,SS,85,85,747.0,375,125,241,9,45,,.976
2018,OAK,AL,SS,159,158,1423.2,676,198,458,20,79,,.970
2019,OAK,AL,SS,161,161,1435.0,634,186,436,12,85,,.981
2020,OAK,AL,SS,53,53,451.1,213,59,147,7,17,,.967
2021,TOR,AL,2B,147,146,1246.1,527,202,317,8,86,,.985
2021,TOR,AL,SS,21,14,134.0,63,16,46,1,5,,.984
2021,TOR,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,TEX,AL,2B,148,148,1293.0,657,252,398,7,89,,.989
2022,TEX,AL,SS,17,13,128.0,69,24,43,2,7,,.971
10 Seasons,4 Teams,,SS,813,793,7049.1,3442,1064,2271,107,447,,.969
,3 Teams,,2B,324,320,2776.0,1325,506,800,19,198,,.986
,2 Teams,,DH,3,3,0.0,0,0,0,0,0,,.000
,CWS,AL,3B,50,44,401.0,134,19,102,13,11,,.903
