PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Manaea(L, 2-2)",4.1,6,7,6,3,5,2,3.47
Lamet,0.2,1,1,1,0,1,1,3.00
Avila,3.0,1,2,1,1,3,0,4.50
Kerr,1.0,0,0,0,0,1,0,0.00
,9.0,8,10,8,4,10,3,
