BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,0,0,0,3,0,.214,.836
Hoskins1B,4,1,0,0,0,1,0,.248,.822
"Castellanos, NRF",4,0,1,0,0,2,1,.251,.672
"Hall, DDH",3,0,0,0,0,1,2,.245,.787
Stott2B,3,1,1,2,0,1,0,.187,.557
VierlingCF,3,0,0,0,0,0,0,.236,.662
GregoriusSS,3,0,0,0,0,0,0,.236,.637
"Munoz, Y3B",3,0,0,0,0,0,0,.222,.726
StubbsC,3,0,0,0,0,1,0,.267,.833
,30,2,2,2,0,9,3,,
