PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(L, 8-5)",4.2,7,6,6,1,4,2,2.89
Familia,0.1,0,0,0,0,1,0,4.80
Duron,1.0,2,0,0,0,1,0,0.00
Hand,1.0,1,0,0,0,0,0,2.25
"Rossman, B",1.0,1,2,2,1,1,1,18.00
,8.0,11,8,8,2,7,3,
