Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
St. Louis Cardinals,MLB,Bases Empty,,,,12,,,36.1,151,32,,,1,9,29,1.13
Pittsburgh Pirates,MLB,Bases Empty,,,,20,,,57.2,251,56,,,6,17,57,1.27
St. Louis Cardinals,MLB,Bases Loaded,,,,1,,,0.0,1,1,,,0,0,0,-.--
Pittsburgh Pirates,MLB,Bases Loaded,,,,6,,,1.2,9,4,,,0,0,1,2.40
St. Louis Cardinals,MLB,Runner at 1st,,,,12,,,13.0,46,10,,,0,4,11,1.08
Pittsburgh Pirates,MLB,Runner at 1st,,,,20,,,23.2,84,18,,,0,5,18,0.97
Pittsburgh Pirates,MLB,Runners at 1st & 2nd,,,,14,,,7.1,28,7,,,0,1,4,1.09
St. Louis Cardinals,MLB,Runners at 1st & 2nd,,,,7,,,7.0,19,3,,,0,0,4,0.43
Pittsburgh Pirates,MLB,Runners at 1st & 3rd,,,,9,,,1.0,8,3,,,0,3,0,6.00
St. Louis Cardinals,MLB,Runners at 1st & 3rd,,,,5,,,1.0,5,2,,,0,0,0,2.00
St. Louis Cardinals,MLB,Runner at 2nd,,,,7,,,4.0,18,4,,,0,2,2,1.50
Pittsburgh Pirates,MLB,Runner at 2nd,,,,14,,,7.2,37,9,,,1,4,7,1.70
Pittsburgh Pirates,MLB,Runners at 2nd & 3rd,,,,6,,,1.2,7,2,,,0,0,0,1.20
St. Louis Cardinals,MLB,Runners at 2nd & 3rd,,,,2,,,0.1,3,1,,,0,1,0,6.00
Pittsburgh Pirates,MLB,Runner at 3rd,,,,6,,,2.0,8,1,,,0,1,2,1.00
St. Louis Cardinals,MLB,Runner at 3rd,,,,4,,,1.0,4,1,,,0,0,2,1.00
St. Louis Cardinals,MLB,Scoring Position,,,,11,,,13.1,50,12,,,0,3,8,1.13
Pittsburgh Pirates,MLB,Scoring Position,,,,19,,,21.1,97,26,,,1,9,14,1.64
