Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,CWS,AL,P,25,22,136.1,29,7,21,1,2,,.966
2013,CWS,AL,P,33,33,200.0,29,4,23,2,1,,.931
2014,CWS,AL,P,32,32,200.1,29,4,25,0,6,,1.000
2015,CWS,AL,P,32,32,206.1,29,2,27,0,1,,1.000
2016,CWS,AL,P,32,32,208.0,22,3,18,1,3,,.955
2017,CWS,AL,P,18,18,104.1,13,4,9,0,1,,1.000
2017,CHC,NL,P,14,14,84.1,17,2,14,1,1,,.941
2017,2 Teams,,P,32,32,188.2,30,6,23,1,2,,.967
2018,CHC,NL,P,32,32,174.1,33,13,19,1,2,,.970
2019,CHC,NL,P,32,31,171.0,41,15,26,0,1,,1.000
2020,CHC,NL,P,4,1,10.0,2,1,1,0,0,,1.000
2021,LAA,AL,P,24,10,53.1,8,2,5,1,0,,.875
2021,SF,NL,P,5,0,9.2,4,3,1,0,0,,1.000
2021,2 Teams,,P,29,10,63.0,12,5,6,1,0,,.917
2022,PIT,NL,P,20,20,103.0,14,1,13,0,0,,1.000
2022,STL,NL,P,12,12,62.2,9,3,6,0,0,,1.000
2022,2 Teams,,P,32,32,165.2,23,4,19,0,0,,1.000
11 Seasons,6 Teams,,P,315,289,1723.2,279,64,208,7,18,,.975
