Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Birmingham Barons,Double-A,vs Left,,,,8,,,12.2,53,12,,,0,4,18,1.26
Birmingham Barons,Double-A,vs Right,,,,9,,,35.0,143,31,,,1,10,23,1.17
