PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Adon(L, 0-1)",4.1,4,4,4,4,3,1,8.31
Voth,0.2,2,0,0,0,0,0,13.50
Finnegan,1.0,0,0,0,0,2,0,0.00
Rainey,1.0,1,0,0,0,2,0,0.00
"Thompson, M",0.0,0,0,0,1,0,0,0.00
"Machado, A",2.0,2,1,1,0,1,0,5.40
,9.0,9,5,5,5,8,1,
