PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Syndergaard(L, 4-4)",6.0,5,1,1,1,3,0,3.69
Herget,2.0,1,0,0,0,1,0,2.89
Wantz,1.0,0,0,0,0,1,0,2.84
,9.0,6,1,1,1,5,0,
