PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(L, 11-6)",6.0,9,6,6,1,5,1,2.92
Knebel,0.1,0,0,0,2,1,0,3.43
Bellatti,0.2,0,0,0,0,1,0,3.55
Hand,1.0,1,0,0,0,2,0,2.08
,8.0,10,6,6,3,9,1,
