BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,3,0,0,0,1,0,1,.238,.689
Devers3B,3,1,3,1,0,0,0,.296,.883
MartinezDH,4,0,1,0,0,3,4,.273,.778
VerdugoRF,4,1,1,0,0,0,3,.283,.739
Arroyo2B,4,1,1,2,0,1,2,.277,.724
Casas1B,4,0,0,0,0,1,1,.200,.768
"Hernández, KSS-CF",4,0,2,1,0,1,1,.225,.634
"Almonte, ACF",4,0,0,0,0,3,2,.281,.741
ChangSS,0,0,0,0,0,0,0,.208,.601
McGuireC,3,1,1,0,0,1,0,.269,.679
,33,4,9,4,1,10,14,,
