PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Ray,6.0,3,0,0,3,7,0,3.60
"Swanson, E(L, 2-1)",0.0,2,2,2,1,0,0,1.49
"Muñoz, A",1.0,1,0,0,0,1,0,2.56
Castillo. D,1.0,0,0,0,0,0,0,3.88
,8.0,6,2,2,4,8,0,
