PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(W, 4-1)",5.0,8,4,4,2,7,0,3.82
Leone,1.0,1,0,0,0,2,0,2.25
Littell,1.0,4,3,3,0,1,1,4.00
"Rogers, Ty(H, 7)",1.0,1,0,0,0,0,0,2.31
"García, J",1.0,0,0,0,1,0,0,0.00
,9.0,14,7,7,3,10,1,
