PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Bieber(W, 11-8)",8.0,4,1,1,0,6,1,2.83
Clase,1.0,0,0,0,0,1,0,1.27
,9.0,4,1,1,0,7,1,
