PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Wisler,1.0,0,0,0,1,1,0,2.75
"Yarbrough(L, 0-4)",5.1,8,4,4,1,0,2,5.82
Faucher,1.2,1,0,0,1,1,0,7.59
,8.0,9,4,4,3,2,2,
