PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Wells, T",5.0,3,2,2,0,4,1,5.54
"Krehbiel(L, 1-2)",0.1,1,1,1,1,1,0,1.04
"Bautista, F",0.2,3,2,2,0,1,1,3.38
Tate,1.0,0,0,0,0,1,0,2.61
Lakins Sr.,1.0,1,0,0,1,2,0,7.50
,8.0,8,5,5,2,9,2,
