BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,0,0,0,0,2,4,.237,.699
SeagerSS,4,1,1,1,1,0,2,.252,.806
"García, AdRF",5,1,1,1,0,1,1,.254,.760
HeimC,5,1,3,1,0,1,1,.252,.765
"Lowe, N1B",3,1,2,0,1,0,0,.284,.791
CulbersonDH,2,1,1,1,0,0,0,.265,.623
a-ViloriaPH-DH,1,0,0,0,1,0,0,.238,.770
"Duran, E3B",3,1,2,1,1,0,3,.257,.696
"Thompson, BCF",3,0,1,1,0,1,4,.214,.491
"Hernandez, ELF",2,0,0,0,0,0,2,.194,.470
"b-Smith, JoshPH-LF",1,1,1,1,1,0,0,.232,.624
,34,7,12,7,5,5,17,,
