PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Dunning,4.1,5,3,3,3,5,0,4.12
"Martin, B(W, 1-7)",0.2,0,0,0,0,0,0,3.79
"Burke(H, 6)",2.0,2,1,1,1,2,1,1.34
"Moore(H, 7)",1.0,0,0,0,1,1,0,2.00
"Hernández, J(S, 3)",1.0,0,0,0,0,0,0,2.70
,9.0,7,4,4,5,8,1,
