PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gonzales(L, 7-12)",5.0,9,5,5,0,2,1,4.18
Murfee,1.0,2,1,1,1,1,0,2.49
Flexen,2.0,1,1,0,4,2,0,3.86
,8.0,12,7,6,5,5,1,
