BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu1B,3,0,0,0,1,0,1,.267,.754
b-PerazaPH,1,0,0,0,0,1,1,.000,.000
JudgeRF-CF,2,0,0,0,1,2,0,.294,1.059
BenintendiLF,1,0,1,0,0,0,0,.304,.772
"a-Cabrera, OPH-RF",3,0,0,0,0,1,4,.222,.578
StantonDH,3,0,0,0,1,3,4,.219,.771
Donaldson3B,4,0,0,0,0,2,2,.220,.685
TrevinoC,4,0,1,0,0,0,0,.264,.715
Torres2B,4,0,1,0,0,2,1,.242,.713
"Hicks, ACF-LF",3,0,1,0,1,2,1,.219,.642
Kiner-FalefaSS,4,0,1,0,0,0,3,.261,.626
,32,0,5,0,4,13,17,,
