PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Odorizzi(W, 3-2)",5.0,1,0,0,2,5,0,3.38
"Javier(H, 1)",3.0,0,0,0,1,5,0,0.83
Neris,1.0,0,0,0,0,1,0,0.64
,9.0,1,0,0,3,11,0,
