Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Birmingham Barons,Double-A,Bases Empty,,,,9,,,29.2,122,23,,,1,8,25,1.04
Birmingham Barons,Double-A,Bases Loaded,,,,3,,,1.1,4,0,,,0,0,2,0.00
Birmingham Barons,Double-A,Runner at 1st,,,,8,,,9.1,34,11,,,0,2,3,1.39
Birmingham Barons,Double-A,Runners at 1st & 2nd,,,,7,,,2.0,10,3,,,0,1,3,2.00
Birmingham Barons,Double-A,Runners at 1st & 3rd,,,,3,,,0.1,2,1,,,0,0,1,3.00
Birmingham Barons,Double-A,Runner at 2nd,,,,6,,,2.1,12,3,,,0,2,4,2.14
Birmingham Barons,Double-A,Runners at 2nd & 3rd,,,,4,,,1.0,4,0,,,0,1,1,1.00
Birmingham Barons,Double-A,Runner at 3rd,,,,4,,,1.2,8,2,,,0,0,2,1.20
Birmingham Barons,Double-A,Scoring Position,,,,8,,,8.2,40,9,,,0,4,13,1.50
