BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",5,0,2,0,0,0,2,.227,.611
"Castro, WRF",4,0,1,1,1,0,1,.249,.650
"Báez, JSS",4,0,0,0,0,1,5,.223,.635
HaaseDH,3,1,1,0,1,0,2,.233,.683
"Castro, H1B",3,1,1,0,0,1,1,.281,.716
Candelario3B,2,1,0,1,1,1,1,.196,.589
Schoop2B,1,0,1,1,0,0,0,.202,.553
Clemens2B,3,0,2,0,0,1,0,.140,.470
BarnhartC,4,1,1,0,0,1,3,.210,.506
"Reyes, VLF",4,0,2,1,0,0,2,.276,.663
,33,4,11,4,3,5,17,,
