BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,5,1,2,0,0,1,1,.400,.800
AquinoRF,5,1,1,0,0,4,1,.200,.400
PhamLF,3,0,0,0,1,1,0,.000,.250
Votto1B,4,0,1,1,0,1,0,.250,.500
"Stephenson, TC",2,1,0,1,0,1,0,.000,.250
SenzelCF,4,0,1,0,0,1,2,.250,.500
MoustakasDH,4,1,1,0,0,2,2,.250,.500
"Farmer, KSS",4,1,2,1,0,1,0,.500,1.000
Drury3B,4,1,2,3,0,1,2,.500,1.750
,35,6,10,6,1,13,8,,
