BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.1B-LF-RF,3,0,0,0,1,1,0,.191,.657
YastrzemskiCF,4,1,1,0,0,0,3,.211,.681
Longoria3B,4,0,0,0,0,2,1,.244,.766
PedersonLF,2,0,1,1,0,0,0,.268,.870
a-VillarPH-1B-2B,2,0,0,0,0,1,0,.214,.762
"Crawford, BraSS",4,0,0,0,0,2,1,.226,.648
Estrada2B-LF,3,0,1,0,1,1,0,.265,.733
"Calhoun, WDH",2,0,0,0,0,0,1,.143,.541
b-FloresPH-DH,1,0,0,0,1,1,1,.233,.727
"Gonzalez, LRF",1,0,0,0,1,0,0,.251,.683
"c-Davis, JPH-1B",0,0,0,0,1,0,0,.237,.720
BartC,3,0,1,0,0,1,2,.230,.713
,29,1,4,1,5,9,9,,
