PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Wacha(W, 6-1)",6.0,5,2,2,2,7,1,2.34
Diekman,1.0,0,0,0,1,1,0,3.28
Sawamura,2.0,0,0,0,0,0,0,2.96
,9.0,5,2,2,3,8,1,
