PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Yarbrough(L, 0-1)",5.1,2,3,2,1,5,0,3.98
"Thompson, R",0.2,1,0,0,0,1,0,4.86
Garza Jr.,2.1,2,2,2,2,0,0,5.54
"Raley, B",0.2,1,2,1,2,0,0,2.84
,9.0,6,7,5,5,6,0,
