PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F",6.0,2,3,3,3,7,1,2.90
"Neris(H, 15)",1.0,0,0,0,0,1,0,3.86
"Montero(H, 11)",1.0,0,0,0,0,1,0,1.88
"Pressly(L, 1-2)(BS, 3)",0.1,3,4,4,2,0,1,4.26
Stanek,0.1,1,0,0,1,1,0,0.74
,8.2,6,7,7,6,10,2,
