PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Taillon,6.0,4,0,0,1,8,0,3.90
"Schmidt(BS, 1)",1.0,3,4,4,1,0,2,3.46
Chapman,0.1,0,0,0,2,1,0,4.36
Trivino,0.2,0,0,0,1,1,0,4.78
"Holmes(W, 7-4)",2.0,1,0,0,0,1,0,2.59
,10.0,8,4,4,5,11,2,
