PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Wacha,6.0,6,3,3,4,5,1,2.70
"Schreiber(H, 21)",1.0,1,0,0,2,0,0,1.92
"Brasier(BS, 4)",1.0,1,1,1,0,0,0,6.12
"Barnes, M",1.0,0,0,0,0,1,0,4.79
"Ort(L, 1-2)",0.0,1,1,0,1,0,0,5.79
,9.0,9,5,4,7,6,1,
