PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Gibson(W, 6-4)",6.0,4,2,2,2,4,1,4.60
Brogdon,1.0,0,0,0,0,2,0,2.14
Hand,1.0,0,0,0,1,0,0,2.05
Bellatti,1.0,1,0,0,0,1,0,3.24
,9.0,5,2,2,3,7,1,
