BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Crawford, JSS",4,0,1,0,0,0,0,.264,.719
France1B,3,0,0,0,0,0,1,.304,.847
WinkerLF,4,0,0,0,0,0,2,.227,.680
SantanaDH,4,1,1,1,0,0,1,.217,.724
"Suárez, E3B",3,0,0,0,1,2,0,.238,.775
Frazier2B-RF,4,0,2,0,0,1,0,.240,.612
RaleighC,3,0,0,0,0,2,3,.199,.731
"Moore, DCF",2,0,0,0,0,2,1,.194,.713
a-LewisPH,0,0,0,0,1,0,0,.222,.889
1-ToroPR-2B,0,0,0,0,0,0,0,.176,.551
HaggertyRF-CF,3,0,0,0,0,3,3,.286,.779
,30,1,4,1,2,10,11,,
