PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(L, 10-4)",6.0,5,2,2,1,8,0,2.77
Brash,1.0,2,1,1,1,1,0,6.75
Borucki,1.0,0,0,0,0,1,0,4.50
Castillo. D,1.0,0,0,0,0,0,0,3.72
,9.0,7,3,3,2,10,0,
