PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Bieber,5.2,5,2,2,3,7,1,2.03
Stephan,1.1,0,0,0,0,4,0,0.00
Karinchak,0.2,0,0,0,3,2,0,0.00
"Clase(W, 1-0)",2.1,1,0,0,1,2,0,0.00
,10.0,6,2,2,7,15,1,
