BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,5,0,2,1,0,0,0,.248,.683
ManciniDH,5,0,1,0,0,3,2,.285,.789
SantanderLF,4,0,0,0,0,0,1,.242,.769
HaysRF,4,1,1,0,0,1,0,.287,.827
Mountcastle1B,4,1,3,0,0,1,0,.281,.810
RutschmanC,4,1,2,3,0,0,1,.222,.681
Nevin3B,2,1,0,0,2,2,2,.194,.577
MateoSS,4,0,1,0,0,1,4,.198,.550
"Martin, Ri2B",4,0,0,0,0,3,2,.190,.642
,36,4,10,4,2,11,12,,
