Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,21.1,18,17.0,1,4,13,8,44.4
2020,,22.4,9,9.9,-1,2,3,7,77.8
2021,,21.6,35,34.9,0,17,20,18,51.4
2022,,21.7,38,36.8,1,11,22,21,55.3
Player,,21.6,100,98.7,1,34,58,54,54.0
