PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Swarmer(W, 1-0)",6.0,2,1,1,2,5,1,1.50
Hughes,0.1,2,0,0,0,1,0,3.60
"Effross(H, 6)",0.2,0,0,0,1,2,0,2.96
Wick,2.0,1,0,0,1,3,0,3.27
,9.0,5,1,1,4,11,1,
