PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Keuchel,5.0,4,0,0,3,3,0,5.54
"Graveman(H, 8)",2.0,1,0,0,0,2,0,1.56
"Kelly, J(H, 2)",0.1,3,1,1,0,0,0,27.00
"Hendriks(W, 1-2)(BS, 3)",1.2,1,1,1,1,3,0,4.70
,9.0,9,2,2,4,8,0,
