BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",5,2,3,0,0,0,3,.339,.885
Moncada3B,4,1,2,1,1,1,1,.238,.857
Robert Jr.CF,4,0,2,2,1,1,2,.296,.786
"Abreu, J1B",4,0,1,0,0,0,4,.203,.602
VaughnDH,4,0,1,0,0,2,2,.281,.903
GrandalC,4,0,0,0,0,1,3,.167,.508
PollockLF,4,0,1,0,0,0,0,.200,.516
EngelRF,3,0,1,0,1,1,1,.224,.587
Harrison2B,3,0,0,0,1,0,1,.156,.505
,35,3,11,3,4,6,17,,
