BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,2,1,0,1,0,.242,.737
Cronenworth2B-1B,4,1,1,0,0,0,3,.235,.721
"Machado, MDH-3B",2,1,0,0,2,0,1,.299,.880
Voit1B,2,0,0,1,1,1,1,.222,.722
RogersP,0,0,0,0,0,0,0,.000,.000
"Nola, AuC",3,0,0,0,1,1,2,.244,.625
KimSS,4,1,1,1,0,2,1,.239,.674
"Ruiz, ERF",2,0,0,0,0,0,2,.231,.577
a-MazaraPH-RF,2,0,0,0,0,1,1,.288,.729
GrishamCF,4,0,1,0,0,0,0,.189,.621
Batten3B-2B,4,0,0,0,0,1,2,.143,.464
,31,3,5,3,4,7,13,,
