PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Kershaw,5.0,6,3,3,0,6,1,5.40
"Graterol(L, 0-1)",1.0,2,1,0,0,0,0,0.00
Almonte,1.0,0,0,0,0,3,0,0.00
Treinen,1.0,1,1,1,2,1,1,9.00
Kahnle,1.0,0,0,0,0,3,0,0.00
,9.0,9,5,4,2,13,2,
