PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 2-0)",5.0,7,3,3,2,7,3,3.00
"Suarez, R(H, 1)",2.0,2,0,0,1,1,0,0.00
"Martinez, N(H, 1)",0.2,1,0,0,0,0,0,2.08
"Hader(S, 1)",1.1,1,0,0,1,1,0,0.00
,9.0,11,3,3,4,9,3,
