PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Gonzales,4.2,6,6,2,1,6,1,3.29
"Swanson, E",1.1,1,0,0,0,2,0,0.00
Festa,1.0,0,0,0,1,1,0,5.79
Sheffield,1.0,1,0,0,0,1,0,0.00
"Steckenrider(L, 0-1)",0.2,2,2,2,1,1,0,3.18
"Ramirez, Y",0.1,0,0,0,0,0,0,4.50
,9.0,10,8,4,3,11,1,
