BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezLF,4,1,2,2,0,0,1,.223,.719
Witt Jr.SS,4,1,2,1,0,0,0,.250,.728
"Perez, SC",4,0,1,1,0,0,1,.249,.748
PasquantinoDH,2,0,1,0,2,0,0,.268,.783
"Taylor, MCF",4,0,0,0,0,1,4,.260,.692
Massey2B,4,0,1,0,0,1,1,.263,.723
OlivaresRF,4,1,1,0,0,1,2,.306,.811
IsbelRF,0,0,0,0,0,0,0,.200,.575
Dozier1B,4,1,2,1,0,2,3,.234,.672
Eaton3B,3,1,1,0,0,1,1,.253,.699
"Lopez, N3B",0,0,0,0,0,0,0,.233,.568
,33,5,11,5,2,6,13,,
