PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
Greinke,5.1,9,4,1,0,3,0,3.99
"Garrett, A(BS, 1)",0.2,1,0,0,0,0,0,4.87
"Coleman(W, 5-2)",1.0,1,0,0,0,1,0,2.61
"Cuas(H, 11)",0.1,0,0,0,0,0,0,3.25
"Barlow, S(S, 22)",1.2,0,0,0,0,3,0,2.37
,9.0,11,4,1,0,7,0,
