BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,5,0,0,0,0,1,2,.314,.795
CorreaSS,5,0,3,2,0,0,0,.288,.832
Miranda1B,4,0,1,0,0,1,3,.270,.768
Gordon2B,4,0,3,0,0,0,0,.283,.782
Urshela3B,3,1,1,0,0,1,3,.273,.744
1-HamiltonPR,0,0,0,0,0,0,0,.056,.161
Palacios3B,0,0,0,0,0,0,0,.111,.257
SanchezC,3,0,0,0,0,1,2,.211,.656
"2-Hamilton, CPR-C",0,0,0,0,0,0,0,.000,.000
CaveLF,4,1,1,1,0,1,3,.203,.644
CelestinoCF,2,1,1,0,0,0,0,.244,.623
ContrerasCF,2,0,0,0,0,1,3,.135,.429
WallnerRF,4,1,1,1,0,1,1,.263,.774
,36,4,11,4,0,7,17,,
