PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Bundy,4.2,4,4,4,1,2,2,4.78
Jax,0.1,1,0,0,0,0,0,3.33
Thielbar,1.0,2,0,0,0,3,0,3.74
"Fulmer(L, 5-6)",1.0,3,1,1,1,0,0,3.15
Megill,1.0,1,0,0,0,1,0,3.80
,8.0,11,5,5,2,6,2,
