BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Donovan2B,3,2,3,0,2,0,0,.297,.788
EdmanSS,4,0,2,0,1,1,3,.265,.734
Goldschmidt1B,4,0,1,1,0,1,7,.328,1.029
b-DeJongPH,1,1,0,0,0,0,2,.157,.570
Arenado3B,4,0,0,0,0,0,4,.300,.914
c-KniznerPH,0,0,0,0,1,0,0,.224,.614
DickersonLF,5,0,2,2,0,1,1,.295,.762
PujolsDH,5,0,0,0,0,0,3,.260,.840
BurlesonRF,4,1,0,0,1,0,2,.000,.200
MolinaC,4,2,2,3,0,0,0,.224,.559
DeLuzioCF,2,0,1,0,0,0,0,.333,.833
a-NootbaarPH-CF,2,0,0,0,0,1,0,.224,.772
,38,6,11,6,5,4,22,,
