Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,195,94,48.2,.366,.371
2020,R,136,68,50.0,.403,.418
2021,R,497,113,22.7,.379,.311
2022,R,574,111,19.3,.353,.330
