,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,578,508,68,132,24,87,1,.260,.343,.465,.808
4 Seasons,1412,1206,192,315,72,230,6,.261,.356,.501,.857
