,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,LAD,NL,54,196,170,30,43,9,0,15,42,18,52,2,0,5,.253,.337,.571,.908
,2020,LAD,NL,37,137,114,23,33,9,0,8,25,20,22,0,0,2,.289,.401,.579,.980
,2021,LAD,NL,130,501,414,71,107,19,2,25,76,58,101,3,0,18,.258,.365,.495,.860
,2022,LAD,NL,137,578,508,68,132,26,3,24,87,56,96,1,0,10,.260,.343,.465,.808
,4 Seasons,LAD,NL,358,1412,1206,192,315,63,5,72,230,152,271,6,0,35,.261,.356,.501,.857
