BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Aranda2B,4,0,0,0,0,2,3,.277,.772
"Ramírez, HRF",4,0,0,0,0,1,1,.307,.768
FrancoSS,2,0,2,0,2,0,0,.269,.710
PeraltaLF,4,0,0,0,0,2,4,.249,.734
MargotCF,3,0,0,0,1,1,1,.290,.737
"Mejía, FC",3,0,0,0,1,2,0,.254,.676
Choi1B,4,0,0,0,0,2,3,.224,.702
BethancourtDH,4,0,1,0,0,2,3,.251,.699
Paredes3B,1,0,0,0,2,0,0,.219,.771
,29,0,3,0,6,12,15,,
