BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
StrawCF,4,0,0,0,0,2,2,.276,.718
KwanLF,2,0,0,0,0,0,0,.341,.956
ClementLF,2,0,0,0,0,1,2,.226,.604
"Ramírez, Jo3B",3,0,1,0,1,1,1,.362,1.105
"Naylor, JDH",4,0,0,0,0,2,2,.400,1.023
"Rosario, ASS",3,1,0,0,1,2,0,.237,.585
"Miller, O1B",3,0,1,0,0,1,0,.484,1.431
a-BradleyPH,1,1,1,0,0,0,0,.125,.250
Gimenez2B,4,0,2,2,0,1,1,.345,.941
MercadoRF,4,0,0,0,0,0,2,.196,.647
HedgesC,2,0,1,0,1,0,0,.147,.472
LavastidaC,0,0,0,0,0,0,0,.083,.350
,32,2,6,2,3,10,10,,
