PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Civale(L, 0-2)",3.0,7,6,6,1,3,1,9.58
Hentges,2.0,2,0,0,0,3,0,1.42
McCarty,3.0,4,4,4,2,3,2,12.00
,8.0,13,10,10,3,9,3,
