,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,CHC,NL,20,82,78,13,22,1,1,3,17,3,11,0,0,0,.282,.305,.436,.741
,2020,CHC,NL,48,126,108,19,24,4,0,0,13,12,24,3,2,3,.222,.312,.259,.571
,2021,CHC,NL,44,170,149,13,45,10,0,0,16,17,25,5,3,3,.302,.382,.369,.751
,2022,CHC,NL,135,517,481,60,135,22,5,10,55,28,57,20,2,6,.281,.327,.410,.737
,4 Seasons,CHC,NL,247,895,816,105,226,37,6,13,101,60,117,28,7,12,.277,.333,.385,.718
