Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,0,,0,0,0,0,0,0,0,0,87,100,13
2020,0,,0,0,0,0,0,0,0,0,99,100,1
2021,-2,,-1,-1,0,-2,0,0,0,0,77,50,-27
